"No.","Length","Type/Subtype"
"2","36","Acknowledgement"
"4","36","Clear-to-send"
"5","36","Acknowledgement"
"6","42","CF-End (Control-frame)"
"7","36","Acknowledgement"
"9","36","Acknowledgement"
"11","36","Acknowledgement"
"12","36","Acknowledgement"
"13","169","Clear-to-send"
"16","36","Acknowledgement"
"22","36","Acknowledgement"
"28","36","Clear-to-send"
"31","42","CF-End (Control-frame)"
"42","36","Clear-to-send"
"45","36","Clear-to-send"
"48","42","CF-End (Control-frame)"
"53","36","Clear-to-send"
"54","36","Acknowledgement"
"56","36","Acknowledgement"
"57","36","Acknowledgement"
"59","36","Clear-to-send"
"61","42","CF-End (Control-frame)"
"67","36","Clear-to-send"
"75","42","CF-End (Control-frame)"
"78","36","Clear-to-send"
"83","36","Clear-to-send"
"84","36","Acknowledgement"
"85","36","Acknowledgement"
"87","36","Acknowledgement"
"92","36","Acknowledgement"
"94","36","Acknowledgement"
"98","36","Clear-to-send"
"102","42","CF-End (Control-frame)"
"103","36","Acknowledgement"
"112","36","Clear-to-send"
"114","36","Clear-to-send"
"116","36","Acknowledgement"
"117","36","Acknowledgement"
"118","42","CF-End (Control-frame)"
"119","36","Acknowledgement"
"124","36","Acknowledgement"
"127","36","Acknowledgement"
"129","36","18"
"130","36","Clear-to-send"
"136","36","Acknowledgement"
"138","36","Clear-to-send"
"142","36","802.11 Block Ack Req"
"146","36","Clear-to-send"
"154","36","Clear-to-send"
"155","42","CF-End (Control-frame)"
"156","36","Clear-to-send"
"159","42","CF-End (Control-frame)"
"161","36","Clear-to-send"
"165","36","Acknowledgement"
"167","139","802.11 Block Ack"
"169","36","Acknowledgement"
"172","36","Acknowledgement"
"175","36","Clear-to-send"
"176","42","CF-End (Control-frame)"
"178","1153","VHT NDP Announcement"
"179","36","Acknowledgement"
"180","36","Acknowledgement"
"189","36","Clear-to-send"
"191","139","CF-End + CF-Ack (Control-frame)"
"195","36","Clear-to-send"
"196","42","CF-End (Control-frame)"
"198","36","Acknowledgement"
"199","36","Acknowledgement"
"200","36","Acknowledgement"
"213","36","Acknowledgement"
"215","36","Acknowledgement"
"217","36","Acknowledgement"
"218","36","Clear-to-send"
"221","1153","Clear-to-send"
"222","36","CF-End (Control-frame)"
"224","36","Acknowledgement"
"226","36","CF-End (Control-frame)"
"228","42","CF-End (Control-frame)"
"230","36","Acknowledgement"
"236","36","Clear-to-send"
"237","36","Acknowledgement"
"238","36","Acknowledgement"
"243","42","CF-End (Control-frame)"
"245","36","Clear-to-send"
"250","36","Acknowledgement"
"254","36","Clear-to-send"
"260","36","Acknowledgement"
"262","36","Acknowledgement"
"264","36","Acknowledgement"
"269","36","Acknowledgement"
"274","36","Clear-to-send"
"278","42","CF-End (Control-frame)"
"283","36","Clear-to-send"
"284","205","17"
"286","36","Clear-to-send"
"289","36","Acknowledgement"
"291","36","Acknowledgement"
"311","36","Clear-to-send"
"315","36","Acknowledgement"
"316","1153","VHT NDP Announcement"
"318","36","19"
"322","36","Acknowledgement"
"323","36","Acknowledgement"
