"No.","Length","Type/Subtype"
"5","36","Clear-to-send"
"6","54","802.11 Block Ack"
"8","36","Acknowledgement"
"11","42","Request-to-send"
"12","36","Clear-to-send"
"15","42","Request-to-send"
"16","36","Clear-to-send"
"17","54","802.11 Block Ack"
"18","42","Request-to-send"
"28","42","Request-to-send"
"29","36","Clear-to-send"
"42","36","Clear-to-send"
"43","54","802.11 Block Ack"
"44","42","Request-to-send"
"46","36","Clear-to-send"
"47","54","802.11 Block Ack"
"48","42","CF-End + CF-Ack (Control-frame)"
"49","36","Clear-to-send"
"50","54","802.11 Block Ack"
"51","54","802.11 Block Ack"
"52","42","Request-to-send"
"62","54","19"
"64","36","Clear-to-send"
"65","54","802.11 Block Ack"
"66","42","Request-to-send"
"79","42","Request-to-send"
"80","36","CF-End + CF-Ack (Control-frame)"
"84","36","Clear-to-send"
"85","54","802.11 Block Ack"
"86","42","Request-to-send"
"91","42","Request-to-send"
"98","42","Request-to-send"
"99","36","VHT NDP Announcement"
"101","54","802.11 Block Ack"
"103","36","Clear-to-send"
"104","54","802.11 Block Ack"
"105","42","Request-to-send"
"106","36","Power-Save poll"
"108","42","Request-to-send"
"110","54","17"
"111","42","19"
"112","36","Clear-to-send"
"113","54","802.11 Block Ack"
"114","42","Request-to-send"
"115","36","Clear-to-send"
"117","54","802.11 Block Ack"
"119","36","Clear-to-send"
"120","54","802.11 Block Ack"
"121","42","Request-to-send"
"122","36","Clear-to-send"
"123","54","802.11 Block Ack"
"124","42","Request-to-send"
"128","36","Clear-to-send"
"129","54","802.11 Block Ack"
"130","42","Request-to-send"
"138","36","Clear-to-send"
"139","54","802.11 Block Ack"
"141","36","Clear-to-send"
"142","54","802.11 Block Ack"
"143","42","Request-to-send"
"144","36","Clear-to-send"
"148","42","Clear-to-send"
"149","36","Clear-to-send"
"150","54","802.11 Block Ack"
"151","42","Request-to-send"
"152","36","Clear-to-send"
"156","36","Clear-to-send"
"157","54","802.11 Block Ack"
"158","54","802.11 Block Ack"
"159","36","Clear-to-send"
"160","54","802.11 Block Ack"
"162","36","Clear-to-send"
"163","54","802.11 Block Ack"
"169","156","17"
"180","36","Acknowledgement"
"182","36","Acknowledgement"
"183","36","Acknowledgement"
"184","36","Acknowledgement"
"191","36","Acknowledgement"
"194","36","Acknowledgement"
"200","36","Acknowledgement"
"216","36","Acknowledgement"
"219","36","Acknowledgement"
"223","36","Acknowledgement"
"226","42","Request-to-send"
"228","42","Request-to-send"
"230","42","Request-to-send"
"231","36","Acknowledgement"
"233","36","Acknowledgement"
"234","119","802.11 Block Ack"
"245","36","Acknowledgement"
"248","36","Acknowledgement"
"252","36","Acknowledgement"
"257","36","Acknowledgement"
"258","36","Acknowledgement"
"264","36","Acknowledgement"
