"No.","Length","Type/Subtype"
"8","139","QoS Data"
"18","162","Data"
"21","94","Data"
"23","94","Data"
"37","100","Data"
"38","100","Data"
"39","100","Data"
"40","205","Null function (No data)"
"55","1153","QoS Data"
"68","52","QoS Null function (No data)"
"69","52","QoS Null function (No data)"
"70","52","QoS Null function (No data)"
"71","52","QoS Null function (No data)"
"72","52","QoS Null function (No data)"
"73","52","QoS Null function (No data)"
"74","52","QoS Null function (No data)"
"80","100","Data"
"81","136","QoS Data"
"104","139","QoS Data"
"113","205","QoS Data + CF-Acknowledgment"
"115","142","QoS Data"
"120","1153","QoS Data"
"133","100","Data"
"134","100","Data"
"135","100","Data"
"139","136","QoS Data"
"141","136","QoS Data"
"143","136","QoS Data"
"149","112","Data"
"168","139","45"
"181","1590","QoS Data"
"185","100","Data"
"186","100","Data"
"187","100","Data"
"197","169","QoS Data"
"212","896","QoS Data"
"216","1590","QoS Data"
"220","1153","Data + CF-Ack"
"223","142","QoS Data"
"225","1153","QoS CF-Ack + CF-Poll (No data)"
"229","1590","QoS Data"
"235","162","Data"
"240","1153","QoS Data"
"242","36","Null function (No data)"
"248","114","Data"
"249","100","Data"
"251","225","Data"
"252","245","Data"
"256","136","QoS Data"
"257","136","QoS Data"
"258","136","QoS Data"
"259","136","QoS Data"
"261","136","QoS Data"
"263","136","QoS Data"
"275","142","Data"
"287","1153","QoS Data"
"292","1153","QoS CF-Ack + CF-Poll (No data)"
"299","100","Data"
"300","100","Data"
"301","100","Data"
"302","100","Data"
"326","97","Data"
"331","112","QoS Data"
"343","181","Data"
"346","112","Data"
"357","1153","QoS Data"
"358","1153","QoS Data"
"363","100","Data"
"364","100","Data"
"365","100","Data"
"372","166","QoS Data"
"374","1590","QoS Data"
"380","1153","Null function (No data)"
"385","1153","QoS Data + CF-Ack + CF-Poll"
"389","49","Data"
"392","142","QoS Data"
"398","139","QoS Data"
"410","1590","QoS Data"
"412","1590","QoS Data"
"414","1590","QoS Data"
"421","1153","QoS CF-Poll (No Data)"
"440","142","QoS Data"
"447","100","Data"
"448","100","Data"
"469","139","QoS Data + CF-Poll"
"475","100","Data"
"476","100","Data"
"477","100","Data"
"478","100","Data"
"480","1153","QoS Null function (No data)"
"490","1153","QoS Data"
"491","38","Data + CF-Ack"
"500","1153","Null function (No data)"
"514","142","QoS Data"
"524","162","Data"
"526","707","QoS Data"
"528","139","QoS Data"
"543","112","Data"
"546","139","QoS Data"
"549","169","QoS CF-Poll (No Data)"
"551","166","Null function (No data)"
"553","166","QoS Data"
"562","100","Data"
"563","100","Data"
"564","100","Data"
"565","100","Data"
"572","1590","QoS Data"
"574","1590","QoS Data"
"575","36","Data + CF-Poll"
"577","494","QoS Data"
"579","142","QoS Data"
"581","1153","QoS CF-Poll (No Data)"
"598","1153","CF-Ack/Poll (No data)"
"608","162","Data"
"615","100","Data"
"616","100","Data"
"628","139","QoS Data"
"635","953","Data"
"668","114","Data"
"669","100","Data"
"670","100","Data"
"671","100","Data"
"687","112","Data"
"689","112","Data"
"690","112","Data"
"695","828","QoS Data"
"712","100","Data"
"713","100","Data"
"714","100","Data"
"721","52","QoS Null function (No data)"
"742","166","QoS Data"
"746","1153","Data + CF-Ack"
"758","116","Data"
"759","116","Data"
"764","162","Data"
"765","112","Data"
"766","112","Data"
"767","112","Data"
"768","112","Data"
"769","112","Data"
"771","112","Data"
"772","100","Data"
"773","112","Data"
"774","112","Data"
"775","112","Data"
"776","112","Data"
"800","100","Data"
"801","100","Data"
"802","100","Data"
"803","100","Data"
"809","1590","QoS Data"
"811","1590","QoS Data"
"815","1153","QoS Data"
"817","142","QoS Data"
"829","883","Data + CF-Ack"
"833","666","QoS Data + CF-Ack + CF-Poll"
"834","145","QoS Data"
"836","55","QoS Data"
"844","139","QoS Data"
"848","169","QoS Data"
"850","704","QoS Data"
"867","112","Data"
"868","80","Data"
"874","80","Data"
"875","80","Data"
"876","80","Data"
"877","80","Data"
"878","80","Data"
"879","112","Data"
"881","112","Data"
"882","112","Data"
"883","112","Data"
"884","112","Data"
"885","112","Data"
"886","112","Data"
"887","112","Data"
"888","112","Data"
"896","100","Data"
"897","100","Data"
"906","1143","QoS Data"
"908","1143","QoS Data"
"916","104","Data"
"936","1255","QoS Data"
"949","100","Data"
"950","100","Data"
"951","100","Data"
"964","135","Data"
"982","1590","QoS Data"
"984","1153","QoS Data"
"988","142","QoS Data"
"991","169","QoS Data"
"1003","1153","QoS Data"
"1011","1153","QoS Data"
"1018","136","QoS Data"
"1024","136","QoS Data"
"1025","36","Acknowledgement (No data)"
"1026","136","QoS Data"
"1027","136","QoS CF-Ack + CF-Poll (No data)"
"1045","50","Null function (No data)"
"1069","169","Data + CF-Ack + CF-Poll"
"1074","116","Data"
"1079","55","Data + CF-Poll"
"1087","1590","QoS Data"
"1088","1219","QoS Data"
"1094","116","Data"
"1095","116","Data"
"1104","139","QoS Data"
"1129","139","QoS Data"
"1142","73","Data"
"1155","102","QoS Data"
"1163","49","Data"
"1177","142","QoS Data"
"1191","136","QoS Data"
"1193","136","QoS Data"
"1197","100","Data"
"1198","100","Data"
"1223","1590","QoS Data"
"1227","100","Data"
"1228","100","Data"
"1229","100","Data"
"1230","100","Data"
"1250","157","Data"
"1264","570","QoS Data"
"1270","570","QoS Data"
"1279","100","Data"
"1280","100","Data"
"1337","181","Data"
"1341","100","Data"
"1342","209","Data"
"1397","100","Data"
"1398","100","Data"
"1401","493","Data"
"1423","1590","QoS Data"
"1424","1590","QoS Data"
"1426","1590","QoS Data"
"1450","106","Data"
"1452","154","Data"
"1455","118","Data"
"1458","154","Data"
"1461","393","Data"
"1462","115","Data"
"1463","115","Data"
"1465","136","QoS Data"
"1466","38","CF-Poll (No data)"
"1467","136","QoS Data"
"1469","136","QoS Data"
"1471","136","QoS Data"
"1472","130","Data"
"1478","496","QoS Data"
"1481","243","QoS Data"
"1482","243","QoS Data"
"1484","97","Data"
"1486","115","Data"
"1490","150","Data"
"1491","130","Data"
"1492","269","QoS Data"
"1497","138","Data"
"1509","100","Data"
"1510","100","Data"
"1519","1590","QoS Data"
"1520","1590","QoS Data"
"1524","1153","Data + CF-Ack + CF-Poll"
"1532","106","Data"
"1533","150","Data"
"1534","118","Data"
"1543","169","45"
"1546","100","Data"
"1548","52","QoS Null function (No data)"
"1549","52","QoS Null function (No data)"
"1557","154","Data"
"1559","173","Data"
"1565","52","QoS Null function (No data)"
"1566","52","QoS Null function (No data)"
"1567","52","QoS Null function (No data)"
"1568","52","QoS Null function (No data)"
"1569","52","QoS Null function (No data)"
"1570","52","QoS Null function (No data)"
"1571","52","QoS Null function (No data)"
"1572","52","QoS Null function (No data)"
"1573","52","QoS Null function (No data)"
"1574","52","QoS Null function (No data)"
"1577","52","QoS Null function (No data)"
"1580","112","Data"
"1581","112","Data"
"1582","112","Data"
"1583","112","Data"
"1584","112","Data"
"1585","112","Data"
"1590","119","Null function (No data)"
"1596","100","Data"
"1598","100","Data"
"1599","1590","QoS Data"
"1600","494","QoS Data"
"1616","1153","QoS Data"
"1620","112","Data"
"1630","1246","QoS Data"
"1631","126","Data"
"1632","174","Data"
"1644","100","Data"
"1645","100","Data"
"1646","100","Data"
"1651","162","Data"
"1653","112","Data"
"1654","112","Data"
"1655","112","Data"
"1658","112","Data"
"1665","169","Acknowledgement (No data)"
"1669","1153","QoS Data + CF-Ack + CF-Poll"
"1677","139","QoS Data"
"1685","112","Data"
"1686","274","QoS Data"
"1690","142","QoS Data"
"1695","169","QoS CF-Poll (No Data)"
"1708","100","Data"
"1709","100","Data"
"1720","106","Data"
"1721","112","Data"
"1722","1590","QoS Data"
"1729","1153","CF-Ack/Poll (No data)"
"1732","169","QoS Data + CF-Poll"
"1741","52","QoS Null function (No data)"
"1742","52","QoS Null function (No data)"
"1743","52","QoS Null function (No data)"
"1744","52","QoS Null function (No data)"
"1745","112","Data"
"1746","100","Data"
"1754","136","QoS Data"
"1755","1590","QoS Data"
"1757","1590","QoS Data"
"1759","1590","QoS Data"
"1761","1590","QoS Data"
"1775","118","Data"
"1782","112","Data"
"1784","101","Data"
"1798","38","Null function (No data)"
"1808","1153","Data + CF-Ack + CF-Poll"
"1828","131","Data"
"1829","100","Data"
"1830","100","Data"
"1831","100","Data"
"1832","100","Data"
"1835","112","Data"
"1839","52","QoS Null function (No data)"
"1843","162","Data"
"1844","1590","QoS Data"
"1846","1590","QoS Data"
"1848","1590","QoS Data"
"1852","1153","QoS Data"
"1857","112","Data"
"1862","570","QoS Data"
"1877","100","Data"
"1878","100","Data"
"1879","170","QoS Data"
"1881","97","Data"
"1887","173","Data"
"1889","100","Data"
"1890","106","Data"
"1893","173","Data"
"1899","1590","QoS Data"
"1917","118","Data"
"1919","106","Data"
"1920","154","Data"
"1921","118","Data"
"1923","50","Null function (No data)"
"1925","150","Data"
"1926","130","Data"
"1931","174","Data"
"1932","174","Data"
"1933","150","Data"
"1934","130","Data"
"1938","139","Data + CF-Ack"
"1948","112","Data"
"1949","112","Data"
"1950","112","Data"
"1951","112","Data"
"1952","112","Data"
"1956","136","QoS Data"
"1965","173","Data"
"1979","118","Data"
"1980","154","Data"
"1984","100","Data"
"1985","100","Data"
"1986","100","Data"
"2002","112","Data"
"2007","36","CF-Poll (No data)"
"2008","112","Data"
"2009","112","Data"
"2013","100","Data"
"2014","100","Data"
"2015","100","Data"
"2024","1153","QoS Data + CF-Ack + CF-Poll"
"2030","1153","Null function (No data)"
"2035","142","QoS Data"
"2046","49","Data"
"2053","449","QoS Data"
"2060","36","Data + CF-Ack + CF-Poll"
"2077","386","Data"
"2078","106","Data"
"2079","50","Data"
"2080","100","Data"
"2081","100","Data"
"2082","245","Data"
"2104","136","QoS Data"
"2113","58","Data"
"2114","139","Acknowledgement (No data)"
"2119","1590","QoS Data"
"2121","142","QoS Data"
"2126","203","QoS Data"
"2128","142","QoS Data"
"2134","100","Data"
"2135","174","Data"
"2136","100","Data"
"2139","1153","Data + CF-Ack + CF-Poll"
"2153","173","Data"
"2161","174","Data"
"2174","100","Data"
"2175","100","Data"
"2176","100","Data"
"2177","100","Data"
"2182","142","QoS Data"
"2189","1153","QoS Data"
"2190","1153","Data"
"2237","100","Data"
"2238","100","Data"
"2239","245","Data"
"2263","239","Data"
"2266","136","QoS Data"
"2290","50","Null function (No data)"
"2291","50","Null function (No data)"
"2294","50","Null function (No data)"
"2301","181","QoS Data"
"2303","50","Null function (No data)"
"2310","143","Data"
"2311","143","Data"
"2316","112","QoS Data"
"2317","158","QoS Data"
"2318","158","QoS Data"
"2319","112","QoS Data"
"2321","97","Data"
"2322","97","Data"
"2324","199","QoS Data"
"2327","239","QoS Data"
"2329","112","Data"
"2330","159","QoS Data"
"2332","239","QoS Data"
"2337","97","Data"
"2340","100","Data"
"2341","100","Data"
"2349","140","QoS Data"
"2350","140","QoS Data"
"2352","174","Data"
"2353","174","Data"
"2354","174","Data"
"2358","418","QoS Data"
"2361","407","QoS Data"
"2363","407","CF-Poll (No data)"
