"No.","Length","Type/Subtype"
"7","50","Null function (No data)"
"13","131","QoS Data"
"20","1521","QoS Data"
"21","1521","QoS Data"
"22","1521","QoS Data"
"23","1521","QoS Data + CF-Poll"
"24","1521","QoS Data + CF-Acknowledgment"
"25","1521","QoS Data"
"26","1529","QoS Data"
"30","1521","QoS Data + CF-Poll"
"31","1521","QoS Data"
"32","1521","QoS Data"
"33","1521","QoS Null function (No data)"
"34","1521","QoS Data"
"35","1521","QoS Data + CF-Acknowledgment"
"36","1521","QoS Data"
"37","1521","QoS Data"
"38","1521","QoS Data"
"39","1529","QoS Data"
"53","38","CF-Ack/Poll (No data)"
"54","1521","QoS Data"
"55","1521","QoS Data"
"56","1521","QoS Data"
"57","1521","QoS Data"
"58","1521","QoS Null function (No data)"
"59","1521","QoS Data"
"60","1521","QoS Data"
"61","1529","QoS Data"
"68","1521","QoS Data"
"69","1521","QoS Data"
"70","1521","QoS Data"
"71","1521","QoS Data + CF-Poll"
"72","1521","QoS Data"
"73","1521","QoS Data"
"74","1521","QoS Data"
"75","1521","QoS Data"
"76","1521","QoS Data + CF-Acknowledgment"
"77","1529","QoS Data"
"81","1521","QoS Data"
"88","1521","QoS Data"
"89","1529","QoS Data"
"93","1521","Data + CF-Poll"
"94","1521","QoS Data"
"95","1521","QoS Data"
"96","1529","QoS Data"
"116","1529","QoS Data + CF-Poll"
"118","42","Data + CF-Poll"
"126","1529","QoS Data"
"127","42","Data + CF-Poll"
"133","1521","QoS Data"
"134","1521","QoS Data"
"135","1529","QoS Data"
"146","1529","QoS Data"
"153","1521","QoS Data"
"154","1529","QoS Data"
"155","54","CF-Poll (No data)"
"161","42","CF-Ack/Poll (No data)"
"197","50","Null function (No data)"
"227","142","QoS Null function (No data)"
"232","50","Null function (No data)"
"259","73","Data"
"260","104","Data"
"276","1516","QoS Data"
"349","234","Data"
"355","50","Null function (No data)"
"356","50","Null function (No data)"
"452","50","Null function (No data)"
"680","159","QoS Data"
"685","1516","QoS Data"
"697","106","Data"
"698","154","Data"
"703","50","Null function (No data)"
"730","50","Null function (No data)"
"732","50","Null function (No data)"
"733","50","Null function (No data)"
"742","50","Null function (No data)"
"743","298","Data + CF-Ack"
"748","50","Null function (No data)"
"753","50","Null function (No data)"
"755","50","Null function (No data)"
"760","42","Data + CF-Ack + CF-Poll"
"763","131","Data"
"765","50","Null function (No data)"
"767","50","Null function (No data)"
"774","121","Data"
"1000","181","QoS Data"
"1019","50","Null function (No data)"
"1041","243","Data"
"1050","50","Null function (No data)"
"1124","50","Null function (No data)"
"1205","50","Null function (No data)"
"1305","159","QoS Data"
"1310","54","QoS CF-Poll (No Data)"
"1319","50","Null function (No data)"
"1332","36","CF-Poll (No data)"
"1333","151","Data"
"1335","106","Data"
"1336","134","Data"
"1343","50","Null function (No data)"
"1355","50","Null function (No data)"
"1357","50","Null function (No data)"
"1395","122","Data"
"1396","122","Data"
"1397","122","Data"
"1398","122","Data"
"1400","122","Data"
"1401","122","Data"
"1402","104","QoS Data + CF-Poll"
"1403","104","Data"
"1404","104","Data"
"1405","104","Data"
"1406","104","Data"
"1407","104","Data"
"1414","110","Data"
"1415","110","Data"
"1416","110","Data"
"1417","110","Data"
"1418","110","Data"
"1419","185","Data"
"1420","185","Data"
"1422","1506","Data"
"1448","110","Data"
"1449","110","Data"
"1450","110","Data"
"1451","110","Data"
"1452","110","Data"
"1453","110","Data"
"1454","195","Data"
"1455","195","Data"
"1456","195","Data"
"1457","195","Data"
"1458","195","Data"
"1459","195","Data"
"1460","104","Data"
"1462","104","CF-Poll (No data)"
"1463","104","Data"
"1464","104","Data"
"1465","104","Data"
"1466","104","Data"
"1467","104","Data"
"1468","104","Data"
"1469","104","Data"
"1470","104","Data"
"1471","104","Data"
"1481","104","Data"
"1482","104","Data"
"1483","104","Data"
"1489","104","Null function (No data)"
"1492","104","Data"
"1494","1506","Data"
"1495","1506","Data"
"1496","1506","Data"
"1497","1506","Data"
"1498","1506","Data"
"1499","1506","Data"
"1500","1506","Data"
"1501","1506","Data"
"1502","1506","Data"
"1503","1506","Data"
"1504","1506","Data"
"1505","1506","Data"
"1507","1506","Data"
"1508","1506","Data"
"1521","1506","Data"
"1522","1506","Data"
"1523","1506","Data"
"1525","1506","Acknowledgement (No data)"
"1527","1506","Data"
"1528","1506","Data"
"1530","1506","Data"
"1531","1506","Data"
"1532","1506","Data"
"1533","1506","Data"
"1536","1506","Data"
"1537","1506","Data"
"1538","1506","Data"
"1539","1506","Data"
"1540","1506","Data"
"1543","1506","Data"
"1545","1506","Data"
"1546","1506","Data"
"1547","1506","Data"
"1548","195","Data"
"1549","104","Data"
"1552","122","Data"
"1554","122","Data"
"1555","122","Data"
"1556","122","Data"
"1557","212","Data"
"1558","212","Data"
